StoreID,StoreName,Address,City,State,Phone,Hours
71,"Sanghvi, Dutta and Shenoy Store","H.No. 538
Sridhar Marg",Ranchi,Jharkhand,-9039187268,Mon-Fri 10am-7pm; Sat 10am-6pm
72,Wagle-Dora Store,"30
Sabharwal Zila",Fatehpur,Manipur,-5349189080,Mon-Fri 10am-7pm; Sat 10am-6pm
73,"Hora, Setty and Raval Store","H.No. 250
Bawa Chowk",Darbhanga,Tamil Nadu,-3374333930,Mon-Fri 10am-7pm; Sat 10am-6pm
74,Rajagopalan and Sons Store,"20/17
Sarna Marg",Ludhiana,Mizoram,-9.19614E+11,Mon-Fri 10am-7pm; Sat 10am-6pm
75,Ben-Dugar Store,"502
Chander Path",Shimoga,Tamil Nadu,-267104371,Mon-Fri 10am-7pm; Sat 10am-6pm
76,Gill-Dixit Store,"43/97
Kapadia Road",Shivpuri,Manipur,-6831872708,Mon-Fri 10am-7pm; Sat 10am-6pm
77,Baria LLC Store,"88/080
Das Nagar",Durg,Madhya Pradesh,-5657194638,Mon-Fri 10am-7pm; Sat 10am-6pm
78,Kapoor-Wable Store,"96/930
Shah Nagar",Raebareli,Uttarakhand,-5570528944,Mon-Fri 10am-7pm; Sat 10am-6pm
79,Bumb-Bhat Store,"21/83, Sangha Marg",Surat,Telangana,-7781522108,Mon-Fri 10am-7pm; Sat 10am-6pm
80,Madan-Dass Store,"225
Kaul Marg",Rajpur Sonarpur,Andhra Pradesh,-6713130765,Mon-Fri 10am-7pm; Sat 10am-6pm
81,"Subramaniam, Shanker and Sekhon Store","H.No. 06
Sane",Raiganj,Telangana,-6322529494,Mon-Fri 10am-7pm; Sat 10am-6pm
82,Batra Ltd Store,"105
Kakar Zila",Srikakulam,Kerala,-9.1362E+11,Mon-Fri 10am-7pm; Sat 10am-6pm
83,Kala and Sons Store,"H.No. 81, Atwal Ganj",Kirari Suleman Nagar,Goa,-9.17335E+11,Mon-Fri 10am-7pm; Sat 10am-6pm
84,Deep Inc Store,"146
Wable Zila",Bhiwani,Himachal Pradesh,-2362873793,Mon-Fri 10am-7pm; Sat 10am-6pm
85,Ratta LLC Store,"H.No. 84
Seshadri Path",Katni,West Bengal,-5501531898,Mon-Fri 10am-7pm; Sat 10am-6pm
86,"Maharaj, Subramaniam and Goswami Store","173
Bobal Zila",Jalandhar,Uttarakhand,-8120318087,Mon-Fri 10am-7pm; Sat 10am-6pm
87,Kuruvilla Group Store,"411, Manne Chowk",Allahabad,Manipur,-9.1154E+11,Mon-Fri 10am-7pm; Sat 10am-6pm
88,Trivedi-Desai Store,"293
Lata Street",Satna,Chhattisgarh,-4483038759,Mon-Fri 10am-7pm; Sat 10am-6pm
89,Banik-Vaidya Store,"H.No. 41
Gour Circle",Bhimavaram,Punjab,-729716063,Mon-Fri 10am-7pm; Sat 10am-6pm
90,Jaggi-Hayer Store,"96/81, Ravel Nagar",Bangalore,Assam,-9.19008E+11,Mon-Fri 10am-7pm; Sat 10am-6pm
91,Master-Bora Store,"899, Dhaliwal Ganj",Raebareli,Maharashtra,-9.16003E+11,Mon-Fri 10am-7pm; Sat 10am-6pm
92,Ben LLC Store,"19
Iyer Street",Gwalior,Jharkhand,-9.19094E+11,Mon-Fri 10am-7pm; Sat 10am-6pm
93,Yohannan Inc Store,"769, Sant Marg",Rohtak,Gujarat,-5086953956,Mon-Fri 10am-7pm; Sat 10am-6pm
94,Bhasin-Kanda Store,"H.No. 331, Loke Zila",Malegaon,Madhya Pradesh,-2052343911,Mon-Fri 10am-7pm; Sat 10am-6pm
95,Kale-Sunder Store,"02
Raj Street",Bhiwani,Tripura,-9055293858,Mon-Fri 10am-7pm; Sat 10am-6pm
96,Chokshi-Grewal Store,"35/95
Salvi Ganj",Sagar,Haryana,-1555954751,Mon-Fri 10am-7pm; Sat 10am-6pm
97,"Kant, Dugal and Solanki Store","33/11, Ramaswamy Street",Kolkata,Sikkim,-9.17596E+11,Mon-Fri 10am-7pm; Sat 10am-6pm
98,Mall LLC Store,"56/435
Chaudhary Circle",Tirupati,Tamil Nadu,-1298426761,Mon-Fri 10am-7pm; Sat 10am-6pm
99,Anand-Barad Store,"111
Sami Nagar",Bhubaneswar,Tamil Nadu,-2704300685,Mon-Fri 10am-7pm; Sat 10am-6pm
100,Goda LLC Store,"56/263, Chaudhari Chowk",Tirupati,Gujarat,-9090263517,Mon-Fri 10am-7pm; Sat 10am-6pm
